XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
18.734375,33.421875,23.862712860107422,30.84375,44.8125,24.9375,32.0625,29.546875,24.6875
18.90625,32.4375,23.558082580566406,31.0625,46.015625,24.734375,32.0625,29.78125,25.125
18.71875,32.390625,23.786556243896484,31.09375,45.359375,25.3125,32.34375,30.046875,24.796875
18.5625,32.25,22.796506881713867,30.25,44.421875,25.171875,32.1875,29.34375,24.015625
18.609375,32.75,22.441104888916016,30.4375,44.171875,25.0625,32.1875,29.15625,24.171875
18.703125,33.484375,21.793764114379883,30.03125,42.875,25.421875,32.125,29.1875,24.1875
18.203125,33.796875,21.831844329833984,29.5,41.5,25.390625,31.625,28.453125,23.5
17.875,34.3125,20.562551498413086,28.828125,40.0625,25.546875,31.1875,27.5,21.859375
17.46875,33.0,21.62875747680664,29.71875,43.4375,25.234375,31.65625,28.015625,22.3125
17.453125,32.6875,21.819150924682617,30.125,42.75,25.59375,31.84375,27.75,22.703125
17.296875,32.703125,21.222583770751953,29.3125,41.625,25.8125,32.265625,26.375,22.078125
17.5,32.265625,20.98141860961914,28.78125,40.96875,25.796875,32.0,26.8125,22.5
17.46875,32.421875,21.971466064453125,29.28125,44.609375,25.328125,31.84375,27.125,23.421875
17.234375,33.0625,22.06031608581543,29.4375,45.28125,25.5,31.671875,27.6875,23.0
17.359375,32.53125,21.692222595214844,29.78125,45.0,25.765625,32.34375,28.09375,23.140625
18.0625,31.984375,22.238018035888672,30.25,44.125,25.84375,32.203125,28.15625,23.15625
17.9375,31.203125,22.364946365356445,29.6875,41.015625,26.453125,32.0,27.65625,22.8125
18.25,31.34375,21.641450881958008,29.84375,42.0,26.5,31.890625,28.046875,22.734375
18.1875,31.125,22.35225486755371,29.828125,42.359375,26.203125,32.625,28.296875,22.953125
19.625,31.65625,23.164602279663086,30.15625,41.78125,26.8125,33.890625,28.84375,23.53125
19.765625,31.875,23.354995727539062,31.25,43.71875,26.71875,34.15625,29.5,24.578125
19.609375,32.90625,23.25345230102539,31.28125,42.875,26.6875,33.953125,29.703125,24.78125
19.46875,31.75,23.36768913269043,31.21875,43.984375,26.484375,33.96875,29.96875,25.0
19.5,31.625,23.304224014282227,30.96875,44.3125,26.34375,33.8125,29.859375,24.640625
19.515625,31.75,23.62154769897461,31.25,43.625,26.84375,33.65625,30.0625,24.96875
